id,title,company,location,skills,description
42,MongoDB Developer,Tech Mahindra,Hyderabad,"mongodb, node.js, javascript, express.js","Develop applications using MongoDB and Node.js."
43,Data Engineer,Accenture,Bangalore,"python, sql, pandas, apache spark, pyspark","Build data processing and transformation pipelines."
44,Junior Data Engineer,TCS,Hyderabad,"python, sql, mysql, pandas, spark","Develop data processing solutions."
45,Data Scientist,IBM,Pune,"python, machine learning, pandas, numpy, scikit-learn","Analyze data and build predictive models."
46,Data Science Intern,Tech Innovations,Hyderabad,"python, pandas, numpy, machine learning, statistics","Assist in data analysis and machine learning projects."
47,Machine Learning Engineer,Microsoft,Bangalore,"python, machine learning, scikit-learn, pandas, numpy","Develop and evaluate machine learning models."
48,ML Engineer,Amazon,Hyderabad,"python, machine learning, deep learning, tensorflow","Build machine learning solutions."
49,AI Developer,Google,Bangalore,"python, artificial intelligence, machine learning, tensorflow","Develop AI-powered applications."
50,Artificial Intelligence Engineer,IBM,Hyderabad,"python, artificial intelligence, deep learning, nlp","Develop artificial intelligence applications."
51,NLP Engineer,Tech Innovations,Pune,"python, nlp, nltk, spacy, machine learning","Develop natural language processing solutions."
52,Deep Learning Engineer,Accenture,Bangalore,"python, deep learning, tensorflow, pytorch, neural networks","Develop deep learning models."
53,Computer Vision Engineer,TCS,Hyderabad,"python, computer vision, opencv, deep learning","Develop computer vision applications."
54,AI/ML Developer,Wipro,Chennai,"python, machine learning, artificial intelligence, scikit-learn","Develop AI and ML applications."
55,Generative AI Developer,Tech Solutions,Hyderabad,"python, generative ai, llm, nlp, machine learning","Develop generative AI applications."
56,Data Analyst,Infosys,Bangalore,"python, sql, pandas, numpy, excel","Analyze datasets and prepare business insights."
57,Business Data Analyst,Accenture,Hyderabad,"sql, excel, power bi, python, data analysis","Analyze business data and create reports."
58,BI Developer,TCS,Pune,"sql, power bi, tableau, data visualization","Develop business intelligence dashboards."
59,Power BI Developer,Capgemini,Bangalore,"power bi, sql, data visualization, excel","Create Power BI dashboards and reports."
60,Tableau Developer,HCL,Hyderabad,"tableau, sql, data visualization, excel","Develop interactive Tableau dashboards."
61,Big Data Developer,IBM,Bangalore,"python, hadoop, spark, pyspark, kafka","Develop big data processing applications."
62,Big Data Engineer,Tech Mahindra,Hyderabad,"hadoop, apache spark, kafka, python, sql","Build big data processing pipelines."
63,Spark Developer,Accenture,Pune,"python, apache spark, pyspark, sql","Develop distributed data processing solutions."
64,Cloud Engineer,AWS Solutions,Hyderabad,"aws, ec2, s3, lambda, docker, linux","Deploy and manage cloud infrastructure."
65,AWS Developer,Infosys,Bangalore,"aws, ec2, s3, lambda, python, git","Develop applications using AWS services."
66,Azure Developer,Microsoft,Hyderabad,"azure, azure functions, python, sql, git","Develop and deploy applications on Azure."
67,Cloud Developer,TCS,Pune,"aws, azure, docker, linux, python","Develop cloud-based applications."
68,Cloud Support Engineer,Wipro,Bangalore,"aws, linux, networking, python, docker","Support cloud infrastructure and applications."
69,DevOps Engineer,Accenture,Hyderabad,"docker, kubernetes, jenkins, git, ci/cd, linux","Automate software deployment and infrastructure processes."
70,Junior DevOps Engineer,Cognizant,Pune,"docker, jenkins, git, linux, ci/cd","Support CI/CD pipelines and deployment automation."
71,Docker Engineer,Tech Mahindra,Bangalore,"docker, kubernetes, linux, git","Develop and manage containerized applications."
72,Kubernetes Engineer,IBM,Hyderabad,"kubernetes, docker, linux, ci/cd","Manage container orchestration environments."
73,CI/CD Engineer,Capgemini,Chennai,"ci/cd, jenkins, git, docker, github actions","Build and maintain continuous integration pipelines."
74,DevOps Automation Engineer,HCL,Bangalore,"jenkins, docker, ansible, terraform, linux","Automate development and deployment workflows."
75,Linux System Engineer,Oracle,Hyderabad,"linux, bash, shell scripting, networking","Manage Linux systems and server environments."
76,Software Tester,TCS,Hyderabad,"software testing, manual testing, test case design, sql","Perform functional testing and test case execution."
77,QA Engineer,Infosys,Bangalore,"software testing, functional testing, regression testing, sql","Test applications and identify software defects."
78,Automation Test Engineer,Accenture,Pune,"selenium, java, testng, automation testing, git","Develop automated software testing solutions."
79,Selenium Tester,Cognizant,Chennai,"selenium, java, testng, junit, testing","Automate web application testing."
80,API Test Engineer,Wipro,Hyderabad,"postman, api testing, rest api, sql","Perform API testing and validation."
81,Performance Test Engineer,Capgemini,Bangalore,"jmeter, performance testing, sql, testing","Perform application performance testing."
82,QA Automation Engineer,HCL,Pune,"selenium, python, pytest, git, automation testing","Develop automated testing frameworks."
83,Java Test Engineer,Tech Mahindra,Hyderabad,"java, selenium, junit, testng, sql","Test Java-based applications."
84,Software Quality Analyst,IBM,Bangalore,"software testing, defect tracking, debugging, uat","Perform software quality assurance activities."
85,Cybersecurity Analyst,Accenture,Hyderabad,"cybersecurity, network security, linux, cryptography","Monitor and analyze security events."
86,Security Engineer,IBM,Bangalore,"information security, network security, linux, ssl, tls","Implement and maintain security controls."
87,Application Security Engineer,TCS,Pune,"cybersecurity, web security, owasp, penetration testing","Identify and address application security issues."
88,Ethical Hacking Analyst,Wipro,Hyderabad,"ethical hacking, penetration testing, cybersecurity, linux","Perform security assessments."
89,Network Security Engineer,HCL,Bangalore,"network security, cybersecurity, linux, cryptography","Manage network security technologies."
90,Cloud Security Engineer,Microsoft,Hyderabad,"cloud, cybersecurity, aws, azure, network security","Implement security controls for cloud environments."
91,Salesforce Developer,Salesforce Solutions,Bangalore,"salesforce, apex, lightning web components, salesforce flow","Develop Salesforce CRM applications."
92,Salesforce Administrator,Tech Mahindra,Hyderabad,"salesforce, salesforce administration, sales cloud, service cloud","Configure and maintain Salesforce environments."
93,Salesforce LWC Developer,Accenture,Pune,"salesforce, lightning web components, javascript, apex","Develop Salesforce Lightning Web Components."
94,Salesforce CRM Developer,IBM,Bangalore,"salesforce crm, apex, visualforce, salesforce flow","Develop CRM solutions using Salesforce."
95,SAP ABAP Developer,Tech Mahindra,Hyderabad,"sap, sap abap, sql, sap hana","Develop SAP ABAP applications."
96,SAP Consultant,Infosys,Bangalore,"sap, sap s/4hana, sap erp, database management","Support SAP enterprise applications."
97,SAP HANA Developer,Accenture,Pune,"sap hana, sql, sap, data analysis","Develop SAP HANA database solutions."
98,SAP Technical Analyst,TCS,Hyderabad,"sap, sap s/4hana, sql, linux","Analyze and support SAP technical systems."
99,ServiceNow Developer,IBM,Bangalore,"servicenow, itsm, javascript, rest api","Develop ServiceNow applications and workflows."
100,ServiceNow Administrator,Cognizant,Hyderabad,"servicenow, itsm, cmdb, servicenow administration","Configure and administer ServiceNow platforms."
101,ITSM Developer,Tech Mahindra,Pune,"servicenow, itsm, cmdb, javascript","Develop IT service management solutions."
102,Mobile App Developer,Infosys,Bangalore,"android, java, android studio, sqlite","Develop Android mobile applications."
103,Android Developer,TCS,Hyderabad,"android, kotlin, java, android studio","Develop and maintain Android applications."
104,Flutter Developer,Accenture,Pune,"flutter, dart, firebase, mobile development","Develop cross-platform mobile applications."
105,React Native Developer,Wipro,Bangalore,"react native, javascript, react, android","Develop cross-platform mobile applications."
106,iOS Developer,Apple Technologies,Bangalore,"swift, ios development, swiftui","Develop iOS applications."
107,Blockchain Developer,Tech Innovations,Hyderabad,"blockchain, javascript, python, cryptography","Develop blockchain-based applications."
108,IoT Developer,Tech Mahindra,Bangalore,"iot, python, c++, raspberry pi, embedded systems","Develop Internet of Things solutions."
109,Embedded Systems Engineer,HCL,Chennai,"c, c++, embedded systems, arduino","Develop embedded software solutions."
110,Robotics Engineer,Tech Solutions,Hyderabad,"python, c++, robotics, raspberry pi","Develop robotics software and control systems."
111,Game Developer,Infosys,Pune,"c++, unity, javascript, game development","Develop interactive game applications."
112,Technical Support Engineer,IBM,Bangalore,"linux, networking, sql, debugging, troubleshooting","Provide technical support for software systems."
113,System Administrator,Wipro,Hyderabad,"linux, windows, networking, bash, cybersecurity","Manage enterprise operating systems and infrastructure."
114,Network Engineer,Cisco Solutions,Bangalore,"computer networks, linux, network security, troubleshooting","Configure and maintain computer networks."
115,Database Administrator,Oracle,Hyderabad,"oracle, mysql, sql, database management, linux","Manage and maintain enterprise databases."
116,Cloud Data Engineer,Amazon,Bangalore,"python, sql, aws, apache spark, pandas","Build and maintain cloud data pipelines."
117,Junior Web Developer,Tech Solutions,Hyderabad,"html, css, javascript, bootstrap, git","Develop responsive websites and web interfaces."
118,Full Stack Developer,Infosys,Pune,"react, node.js, javascript, mongodb, html, css","Develop complete full-stack web applications."
119,Python ML Developer,Wipro,Hyderabad,"python, machine learning, pandas, numpy, scikit-learn, flask","Develop machine learning applications using Python."
120,AI Full Stack Developer,Tech Innovations,Bangalore,"python, flask, javascript, react, machine learning, mysql","Develop AI-enabled full-stack web applications."
